ParentPostId,ParentPostTitle,ParentTags,Id,Title,Tags,ParentBody,Body
"6850500","Postgis installation: type ""geometry"" does not exist","<postgresql><geometry><postgis>","28417409","Type ""geometry"" does not exists","<postgresql><docker><gis><geospatial><postgis>","<p>I am trying to create table with Postgis. I do it by this <a href=""http://postgis.refractions.net/documentation/manual-1.5/ch02.html#id2619431"" rel=""noreferrer"" title=""official documentation"">page</a>. But when I import postgis.sql file, I get a lot of errors:</p>

<pre><code>ERROR:  type ""geometry"" does not exist
</code></pre>

<p>Does anybody know how can I fix it?</p>
","<p>I'm trying to construct a Docker image with a PostgreSQL and PostGIS database for one of our products. Although constructing the image (and container) isn't that hard and works, based on off <a href=""https://github.com/helmi03/docker-postgis"" rel=""nofollow"">another PostGIS image</a>. However when adding the ddl for constructing the database I'm running into issues.</p>

<p>I've constantly get the message: <code>ERROR:  type ""geometry"" does not exist</code>. Because of this I've read and read on the internet and the main root seemed to be that I didn't properly initialize PostGIS Extensions. So I did that on a template table and running <code>SELECT postgis_full_version()</code> returns <code>POSTGIS=""2.1.3 r12547"" GEOS=""3.4.2-CAPI-1.8.2 r3921"" PROJ=""Rel. 4.8.0, 6 March 2012"" GDAL=""GDAL 1.10.1, released 2013/08/26"" LIBXML=""2.9.1"" LIBJSON=""UNKNOWN"" TOPOLOGY RASTER</code> which seems to be alright. However still no dice...</p>

<p>Also after checking the available datatypes in the public schema via <code>\dT</code> I get that <code>geometry</code> type is available. That's why I'm a bit clueless here, since everything seems fine.</p>

<p>Anybody have any ideas how I can resolve this issue, or what I could look for?</p>

<p>Used versions:</p>

<ul>
<li>Ubuntu 14.04 (Trusty)</li>
<li>PostgreSQL version: 9.3</li>
<li>PostGIS version: 2.1</li>
</ul>

<p>Edit: I'm trying again and tried to creating the extensions, than stopping PostgreSQL, running <code>ldconfig</code> (to reload lib's) and starting PostgreSQL again, but the same issue still persists.</p>
"
"27937185","Assign static IP to Docker container","<docker>","33545247","Docker – fix service IP addresses","<docker><docker-compose>","<p>I'm now trying to assign a static IP 172.17.0.1 when a Docker container be started up. </p>

<p>I use port 2122 as the ssh port of this container so that I let this container listen port 2122.</p>

<pre><code>sudo docker run -i -t -p 2122:2122 ubuntu
</code></pre>

<p>This command will run a Docker container with a random IP like 172.17.0.5, but I need to assign a specific IP to the container.</p>

<p>The following shell script is what I reference Docker documentation in advanced network settings.</p>

<pre><code>pid=$(sudo docker inspect -f '{{.State.Pid}}' &lt;container_name&gt; 2&gt;/dev/null)
sudo rm -rf /var/run/netns/*
sudo ln -s /proc/$pid/ns/net /var/run/netns/$pid
sudo ip link add A type veth peer name B
sudo brctl addif docker0 A
sudo ip link set A up
sudo ip link set B netns $pid
sudo ip netns exec $pid ip link set eth0 down
sudo ip netns exec $pid ip link delete eth0
sudo ip netns exec $pid ip link set dev B name eth0
sudo ip netns exec $pid ip link set eth0 address 12:34:56:78:9a:bc
sudo ip netns exec $pid ip link set eth0 down
sudo ip netns exec $pid ip link set eth0 up
sudo ip netns exec $pid ip addr add 172.17.0.1/16 dev eth0
sudo ip netns exec $pid ip route add default via 172.17.42.1
</code></pre>

<p>This shell script will assign a static IP 172.17.0.1 and link to the world fine. But whenever I try to ssh to this container from my local, it didn't work. What's the problem possibly I met?</p>
","<p>I have a docker-compose setup with a bunch of backend services (postgres, redis, ...), a few apps (rails, node, ...) and an nginx on top of it. </p>

<p>The apps are connected to the databases using docker env variables (e.g. <code>DOCKERCOMPOSEDEMO_POSTGRES_1_PORT_5432_TCP_ADDR</code>), and the nginx is connected to the apps using the docker generated <code>/etc/hosts</code>: (e.g. <code>upstream nodeapp1-upstream { server dockercomposedemo_node_app1_1:3000; }</code>)</p>

<p>The problem is that each time I restart some service it gets a new IP address, and thus everything on top of it can't connect to it any more, so restarting a rails app requires to restart nginx, and restarting a database requires to restart the apps and the nginx.</p>

<p>Am I doing somethings wrong, or is it the intended behaviour? Always restarting all that stuff doesn't look like a good solution.</p>

<p>Thank you</p>
"
"9689793","Can't execute jar- file: ""no main manifest attribute""","<java><jar><manifest><main>","31079375","Unable to run docker image - no main manifest attribute, in app.jar","<java><maven><docker>","<p>I have installed an application, when I try to run it (it's an executable jar) nothing happens. When I run it from the commandline with: </p>

<blockquote>
  <p>java -jar ""app.jar""</p>
</blockquote>

<p>I get the following message:</p>

<blockquote>
  <p>no main manifest attribute, in ""app.jar""</p>
</blockquote>

<p>Normally, if I had created the program myself, I would have added a main class attribute to the manifest file. But in this case, since the file is from an application, i cannot do that. I also tried extracting the jar to see if I could find the main class, but there are to many classes and none of them has the word ""main"" in it's name. There must be a way to fix this because the program runs fine on other systems.</p>
","<p>Unable to run a docker image built. When I run with the command</p>

<pre><code>docker run -p 8080:8080 -t {image prefix name}/{image name}
</code></pre>

<p>I get a message <code>""no main manifest attribute, in app.jar""</code></p>

<p>Using docker-maven-plugin and tried maven-assembly-plugin with main class called out explicitly. </p>

<p><code>docker version Boot2Docker 1.7.0</code></p>
"
"27721178","Is it possible to create a docker container that contains one or more containers?","<docker>","38541167","Docker inside Docker (without command line)","<bash><docker><dockerfile><docker-image>","<p>I want to create a docker container which contains one or more containers.
Is it possible with Docker?</p>
","<p>I want to run docker daemon inside my docker image. I know I can easily achieve this by exposing outer docker process during running my docker image, but unfortunately I have no possibility to control how my image is run. I CAN NOT use DIND.</p>

<p>Therefore I would like to start docker service inside either Dockerfile or some script that is my entrypoint. I tried invoking command:</p>

<pre><code>CMD service docker start
</code></pre>

<p>after downloading and installing docker in the image and also including this command in some script <code>start.sh</code> and calling it:</p>

<pre><code>ENRYPOINT [""path/to/script/start.sh""]
</code></pre>

<p>None of this worked. Is it at all possible to run docker as I want or am I doing something incorrectly or it is just not possible in my execution environment?</p>
"
"29746304","ProcessBuilder and Process.waitFor(), how long does it wait?","<java><process><console><wait><processbuilder>","38678080","No Process output from Java ProcessBuilder on Docker","<java><docker><docker-compose>","<p>I am executing an .exe-file from java, using the <a href=""https://docs.oracle.com/javase/8/docs/api/java/lang/ProcessBuilder.html"" rel=""nofollow noreferrer"">ProcessBuilder</a> class and the <a href=""https://docs.oracle.com/javase/8/docs/api/java/lang/Process.html"" rel=""nofollow noreferrer"">Process</a> class. To explain what I am doing:</p>

<pre><code> builder = new ProcessBuilder(commands);
 builder.redirectErrorStream(true);
 Process process = builder.start();
 process.waitFor();
</code></pre>

<p>I just wanted to know, for how long is ""waitFor()"" waiting? Is it waiting until my .exe is executed, or is it waiting till its execution is finished?</p>

<p>My .exe is a compiled AutoIt-script. That means, that there could be interactions like mouse movements, which take some time. 
So I need to know if my Java-code execution goes on after calling the .exe or if it is really waiting for it. </p>

<p>What I want to achieve is the rotational execution of two scripts, but I'm afraid, that my Java code is executing the second script while the first one is still running.
Has anyone a workaround for this? I am glad for any ideas.</p>
","<p>I'm trying to start a process (dstat system-tool) from inside a Java application running on Docker.
Running the app on my local machine, the following code works:</p>

<pre><code>LOG.debug(""Start DSTAT data collecting..."");
try {
    final ProcessBuilder processBuilder = new ProcessBuilder(DSTAT_COMMAND);
    processBuilder.redirectErrorStream(true);
    final Process process = processBuilder.start();
    try (BufferedReader processOutputReader = new BufferedReader(new InputStreamReader(process.getInputStream()))) {
        final String dstatResult = processOutputReader.lines()
                    .map(String::toString)
                    .collect(Collectors.joining(System.lineSeparator()));
        final boolean exitCode = process.waitFor(10, TimeUnit.SECONDS);
        LOG.debug(""Dstat exit: {}"", exitCode);
        LOG.debug(""Dstat output: {}"", dstatResult);
}
</code></pre>

<p>But starting the same with Docker there is no output from the dstat-process, my log is:</p>

<p>2016-07-31 08:31:56.984 DEBUG 15 --- [lector-thread-1] i.thesis.collector.dstat.DstatCollector  : Start DSTAT data collecting...
2016-07-31 08:31:57.190 DEBUG 15 --- [lector-thread-1] i.thesis.collector.dstat.DstatCollector  : Dstat exit: true
2016-07-31 08:31:57.190 DEBUG 15 --- [lector-thread-1] i.thesis.collector.dstat.DstatCollector  : Dstat output: </p>

<p>I also tried Runtime.getRuntime().exec(""dstat""), what causes hanging at</p>

<pre><code>2016-07-30 19:18:41.199 DEBUG 11 --- [lector-thread-1] i.thesis.collector.dstat.DstatCollector  : Start DSTAT data collecting...
</code></pre>

<p>The dstat tool is correctly installed on the container, I can docker exec into, run the dstat command and get the expected output.</p>

<p>For completeness the Dockerfile:</p>

<pre><code>FROM java:8-jre-alpine

RUN apk add --no-cache bash snappy

ARG FLINK_VERSION=1.0.3
ARG HADOOP_VERSION=27
ARG SCALA_VERSION=2.11

RUN set -x &amp;&amp; \
  apk --update add --virtual build-dependencies curl &amp;&amp; \
  # install dstat as collector source
  apk add dstat --update-cache --repository http://dl-3.alpinelinux.org/alpine/edge/testing/ --allow-untrusted &amp;&amp; \
  curl -s $(curl -s https://www.apache.org/dyn/closer.cgi\?as_json\=1 | \
  awk '/preferred/ {gsub(/""/,""""); print $2}')flink/flink-${FLINK_VERSION}/flink-${FLINK_VERSION}-bin-hadoop${HADOOP_VERSION}-scala_${SCALA_VERSION}.tgz | \
  tar xvz -C /usr/local/ &amp;&amp; \
  ln -s /usr/local/flink-$FLINK_VERSION /usr/local/flink &amp;&amp; \
  sed -i -e ""s/echo \$mypid &gt;&gt; \$pid/echo \$mypid &gt;&gt; \$pid \&amp;\&amp; wait/g"" /usr/local/flink/bin/flink-daemon.sh &amp;&amp; \
  apk del build-dependencies &amp;&amp; \
  rm -rf /var/cache/apk/*

  ADD collector-client-app.jar /usr/local/collector/collector-client-app.jar
  EXPOSE 9091

  ENV FLINK_HOME /usr/local/flink
  ENV PATH $PATH:$FLINK_HOME/bin
  ENV FLINK_JMX_PORT 9999

  ADD docker-entrypoint.sh $FLINK_HOME/bin/
  ENTRYPOINT [""docker-entrypoint.sh""]
  CMD [""sh"", ""-c""]
</code></pre>

<p>docker-entrypoint.sh:</p>

<pre><code>if [ ""$1"" = ""jobmanager"" ]; then
    echo ""Starting Job Manager""
    sed -i -e ""s/jobmanager.rpc.address: localhost/jobmanager.rpc.address: `hostname -f`/g"" $FLINK_HOME/conf/flink-conf.yaml
    sed -i -e ""s/taskmanager.numberOfTaskSlots: 1/taskmanager.numberOfTaskSlots: `grep -c ^processor /proc/cpuinfo`/g"" $FLINK_HOME/conf/flink-conf.yaml
    echo ""env.java.opts: \""-Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.port=$FLINK_JMX_PORT -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false \"""" &gt;&gt; $FLINK_HOME/conf/flink-conf.yaml
    echo ""config file: "" &amp;&amp; grep '^[^\n#]' $FLINK_HOME/conf/flink-conf.yaml
    $FLINK_HOME/bin/jobmanager.sh start cluster &amp;
elif [ ""$1"" = ""taskmanager"" ]; then
    echo ""Starting Task Manager""
    echo ""config file: "" &amp;&amp; grep '^[^\n#]' $FLINK_HOME/conf/flink-conf.yaml
    $FLINK_HOME/bin/taskmanager.sh start &amp;
else
    $@
fi
echo ""Start collector client...""
java -Djava.security.egd=file:/dev/./urandom -jar /usr/local/collector/collector-client-app.jar
</code></pre>

<p>and docker-compose.yml</p>

<pre><code>version: '2'
services:
    flink-jobmanager:
    image: flink
    container_name: flink-jobmanager
    ports:
      - ""8081:8081""
      - ""9999:9999""
      - ""9095:9091""
    command: jobmanager
</code></pre>

<p>It probably has something to do with docker's process-stdout-or-whatever handling, but I couldn't find anything helpful yet.</p>

<p>So thanks in advance for any ideas or suggestions!</p>
"
"31881904","Docker follow symlink outside context","<docker><symlink><dockerfile><symlink-traversal>","38600604","Follow Symbolic link when creating dockerfile","<docker><symlink><dockerfile>","<p>Yet another Docker symlink question. I have a bunch of files that I want to copy over to all my Docker builds. My dir structure is:</p>

<pre><code>parent_dir
    - common_files
        - file.txt
    - dir1
        - Dockerfile  
        - symlink -&gt; ../common_files
</code></pre>

<p>In above example,  I want file.txt to be copied over when I docker build inside dir1. But I don't want to maintain multiple copies of file.txt. 
Per <a href=""https://github.com/docker/docker/blob/master/CHANGELOG.md#0100-2014-04-08"">this link, as of docker version 0.10</a>, docker build must </p>

<blockquote>
  <p>Follow symlinks inside container's root for ADD build instructions.</p>
</blockquote>

<p>But I get <strong>no such file or directory</strong> when I build with either of these lines in my Dockerfile: </p>

<p><code>ADD symlink /path/dirname</code> or
<code>ADD symlink/file.txt /path/file.txt</code></p>

<p>mount option will NOT solve it for me (cross platform...).
I tried <code>tar -czh . | docker build -t</code> without success.</p>

<p>Is there a way to make Docker follow the symlink and copy the common_files/file.txt into the built container?</p>
","<p>I have wrote a Dockerfile to create a new node.js container with given code:</p>

<pre><code>FROM node:latest
RUN mkdir -p //usr/src/app
WORKDIR /usr/src/app
COPY . /usr/src/app
RUN npm install
EXPOSE 8080
EXPOSE 5858
CMD [ ""npm"", ""start"" ]
</code></pre>

<p>nothing complicated. But now I add a symbolic link to the folder, which should added to container. But if I try to run the container I get a error message that a folder is not found. It is same I added as symbolic link.</p>

<p>Is there a possibility to keep link and tell docker to follow link and copy files to docker container?</p>
"
"33884870","How can I get a Docker image's label if the label name has a ""."" in it?","<templates><go><docker>","36439800","get label value from docker inspect","<docker><docker-compose><jq>","<p>The docker inspect command can be very useful for getting the labels on a Docker image:</p>

<pre><code># -*- Dockerfile -*-
FROM busybox
LABEL foo=""bar""
LABEL com.wherever.foo=""bang""
</code></pre>

<p>For simple label names, the inspect command has a <code>--format</code> option (which uses Go templates) that works nicely.</p>

<pre><code>$ docker build -t foo .
$ docker inspect -f '{{ .Config.Labels.foo }}' foo
bar
</code></pre>

<p>But how do I access labels that have a dot in their name?</p>

<pre><code>$ docker inspect -f '{{ .Config.Labels.com.wherever.foo }}' foo
&lt;no value&gt;
</code></pre>

<p>I'm writing this in a bash script, where I'd like to avoid re-parsing the JSON output from <code>docker inspect</code>, if possible.</p>
","<p>I had problem to get the value from the map list due to the key has ""."" inside.</p>

<pre>
docker inspect jenkins
...
  Config: {
  ..
      ""Labels"": {
            ""com.docker.compose.config-hash"": ""85bcf1e0bcd708120185a303e2a8d8e65543c1ec77ec0c6762fc057dc10320aa"",
            ""com.docker.compose.container-number"": ""1"",
            ""com.docker.compose.oneoff"": ""False"",
            ""com.docker.compose.project"": ""new"",
            ""com.docker.compose.service"": ""sc2"",
            ""com.docker.compose.version"": ""1.5.2""
        }
    }
}
</pre>

<p>I can get map list </p>

<pre>
docker inspect -f {{.Config.Labels}} new_sc2_1
map[com.docker.compose.config-hash:85bcf1e0bcd708120185a303e2a8d8e65543c1ec77ec0c6762fc057dc10320aa com.docker.compose.container-number:1 com.docker.compose.oneoff:False com.docker.compose.project:new com.docker.compose.service:sc2 com.docker.compose.version:1.5.2]
</pre>

<p>But how can I get the project name <code>new</code> from key <code>com.docker.compose.project</code></p>

<pre><code>docker inspect -f {{.Config.Labels.com.docker.compose.project}} new_sc2_1
&lt;no value&gt;
</code></pre>
"
"16047306","How is Docker different from a virtual machine?","<docker><containers><virtual-machine><virtualization>","29096967","What are the differences between a VM image and a Docker image?","<cloud><docker><virtual-machine><openstack>","<p>I keep rereading <a href=""https://docs.docker.com/"" rel=""noreferrer"">the Docker documentation</a> to try to understand the difference between Docker and a full VM. How does it manage to provide a full filesystem, isolated networking environment, etc. without being as heavy?</p>

<p>Why is deploying software to a Docker image (if that's the right term) easier than simply deploying to a consistent production environment?</p>
","<p>Are there any differences in images of Docker and Virtual Machine?
Except the image formats, I couldn't find any info on this anywhere.
Please comment out on the things like image size, instance creation time, capture time, etc.
Thanks!</p>
"
"29314665","systemtap:while resolving probe point: identifier 'process' at source: probe process().function no match","<nginx><process><docker><systemtap>","29327180","systemtap: nothing for ""sudo stap -L 'process(""/data1/nginx/sbin/nginx"").function(""*"")'","<nginx><lua><docker><systemtap>","<p>I had installed nginx and lua in my docker image, but I didn't install nginx on my physical CentOS system. I ""docker run my image"" and start nginx on my physical CentOS system. So the nginx master and worker process are working. I run an example of nginx-systemtap-toolkit. I run:</p>

<pre><code>sudo ./ngx-active-reqs -p 24945
</code></pre>

<p>24945 is worker process id. errors as following:</p>

<pre><code>semantic error: while resolving probe point: identifier 'process' at &lt;input&gt;:6:7
    source: probe   process(""/data1/nginx/sbin/nginx"").function(""ngx_process_events_and_timers""),
                    ^
semantic error: no match
Pass 2: analysis failed.  [man error::pass2]
Number of similar error messages suppressed: 1
</code></pre>

<p>In fact, ""/data1/nginx/sbin/nginx"" is the nginx path in docker image, nginx is not installed on my physical system. So whether I must install nginx on my physical system , or is there other method to use nginx's process function? I don't know how to solve the problem.</p>
","<p>I had installed nginx and lua in my docker image, but I didn't install them on my physical CentOS system. I installed nginx-debuginfo on both physical CentOS system and docker image. I docker run and start nginx:</p>

<pre><code>docker run -it -p 2000:20  9cdf8f425fd9 /bin/bash /home/startnginx.sh
</code></pre>

<p>then I run ""stap -L"" on my physical CentOS system to see the functions of nginx,but nothing is returned:</p>

<pre><code>sudo stap  -L 'process(""/data1/nginx/sbin/nginx"").function(""*"")'
sudo stap -d 0.0.0.0:2000:/data1/nginx/sbin/nginx --ldd -L 'process(""/data1/nginx/sbin/nginx"").function(""*"")'
</code></pre>

<p>/data1/nginx/sbin/nginx is the path of nginx on docker image. 
I don't know how to solve the problem?</p>
"
"24309526","How to change the docker image installation directory?","<docker>","32070113","How do I change the default docker container location?","<docker>","<p>From what I can tell, docker images are installed to <code>/var/lib/docker</code> as they are pulled. Is there a way to change this location, such as to a mounted volume like <code>/mnt</code>?</p>
","<p>When I run docker, downloaded docker images (seem to be) stored in <code>/var/lib/docker</code> somewhere.</p>

<p>Since disk space is limited on this directory, and I'm provisioning docker to multiple machines at once; is there a way to change this default location to i.e. <code>/mnt/hugedrive/docker/</code>?</p>
"
